CustomerID,Age,Gender,Annual Income (k$),Spending Score (1-100),Tenure,Purchase Frequency,Average Transaction Value,Product Category Preference,Online Activity
166,40,1,43,73,6,13,75,1,73
167,28,1,34,60,7,22,228,1,56
168,39,1,58,53,5,15,162,1,47
169,27,1,49,40,4,16,270,1,59
170,27,1,40,59,4,14,228,1,40
171,36,1,37,44,5,7,222,1,50
172,38,1,52,64,5,13,206,1,55
173,35,1,50,43,4,8,287,1,38
174,32,1,43,59,5,21,166,1,53
175,31,1,71,38,5,18,221,1,48
176,34,1,50,49,6,26,172,1,36
177,35,1,76,42,7,23,172,1,56
178,43,1,46,48,4,10,168,1,38
179,35,1,42,52,3,17,242,1,30
180,37,1,62,38,7,17,165,1,49
181,38,1,51,55,4,16,129,1,49
182,30,1,43,62,6,18,145,1,47
183,41,1,51,73,5,16,185,1,51
184,34,1,57,60,4,8,108,1,55
185,29,1,28,54,7,15,242,1,51
186,35,1,59,47,5,17,167,1,60
187,34,1,42,55,4,15,200,1,61
188,37,1,50,58,6,18,201,1,37
189,30,1,47,44,5,15,226,1,49
190,37,1,51,30,4,14,140,1,56
191,43,1,62,48,6,16,183,1,44
192,33,1,46,52,5,15,222,1,62
193,40,1,35,24,6,8,189,1,38
194,26,1,55,58,4,2,173,1,54
195,28,1,52,50,6,16,151,1,62
196,34,1,50,41,5,11,191,1,67
197,28,1,34,65,5,12,252,1,44
198,44,1,57,45,7,12,237,1,53
199,42,1,66,50,4,17,166,1,70
200,36,1,46,52,4,10,260,1,43
201,30,1,55,62,6,20,162,1,36
202,43,1,47,47,6,18,223,1,72
203,32,1,59,51,5,23,225,1,55
204,40,1,46,42,4,5,303,1,39
205,34,1,47,53,6,19,171,1,48
206,36,1,48,66,5,19,233,1,62
207,36,1,37,54,4,12,229,1,62
208,35,1,53,67,5,28,228,1,32
209,39,1,54,63,6,14,139,1,48
210,31,1,44,56,7,17,140,1,54
211,41,1,44,49,5,11,232,1,49
212,37,1,41,46,6,13,286,1,46
213,36,1,59,36,3,7,263,1,44
214,48,1,44,52,7,25,303,1,62
215,40,1,56,58,4,11,200,1,48
216,33,1,57,60,5,22,143,1,48
217,31,1,31,49,5,23,232,1,40
218,44,1,62,56,5,10,181,1,61
219,44,1,65,45,4,16,112,1,53
220,34,1,45,34,6,12,142,1,21
221,35,1,68,67,5,12,223,1,40
222,37,1,58,62,5,14,156,1,42
223,34,1,54,59,4,22,186,1,50
224,31,1,26,59,6,14,203,1,55
225,27,1,45,58,4,16,132,1,55
226,35,1,34,62,4,11,210,1,61
227,30,1,51,54,6,16,182,1,42
228,35,1,39,21,5,20,82,1,40
229,38,1,71,50,4,14,269,1,44
230,31,1,45,40,5,23,216,1,47
231,34,1,34,59,5,14,360,1,53
232,31,1,46,61,5,8,246,1,43
233,44,1,61,46,6,15,243,1,55
234,31,1,44,60,5,13,152,1,54
235,45,1,39,50,6,15,223,1,39
236,37,1,48,60,6,28,229,1,53
237,36,1,46,53,5,16,266,1,40
238,41,1,63,49,3,12,265,1,50
239,30,1,45,58,6,14,182,1,46
240,30,1,66,47,6,23,250,1,46
241,37,1,50,41,5,9,259,1,45
242,36,1,53,47,6,13,244,1,37
243,36,1,69,40,4,18,209,1,54
244,37,1,56,61,5,14,234,1,69
245,34,1,40,61,5,4,242,1,45
246,35,1,53,52,6,13,226,1,47
247,39,1,56,41,6,12,240,1,54
248,44,1,48,47,5,13,240,1,34
249,30,1,39,60,7,14,192,1,51
250,41,1,41,52,6,18,209,1,60
251,31,2,77,53,6,23,369,2,29
252,50,2,86,73,10,24,304,2,14
253,44,2,62,82,8,21,328,2,30
254,53,2,64,62,7,13,269,2,30
255,43,2,63,46,8,12,338,2,31
256,38,2,67,52,8,27,206,2,31
257,44,2,77,62,7,18,260,2,41
258,45,2,89,59,7,12,210,2,14
259,46,2,75,44,9,18,307,2,46
260,49,2,67,51,6,16,289,2,20
261,44,2,71,58,7,21,322,2,19
262,52,2,69,60,9,21,348,2,33
263,42,2,74,49,8,20,290,2,29
264,36,2,65,61,8,15,363,2,21
265,50,2,74,54,10,14,346,2,40
266,42,2,84,57,8,21,293,2,38
267,49,2,53,73,6,25,356,2,19
268,43,2,59,58,8,24,366,2,44
269,42,2,68,43,7,25,381,2,18
270,42,2,70,63,7,22,276,2,30
271,48,2,70,56,8,20,281,2,27
272,53,2,76,57,9,18,359,2,34
273,44,2,74,44,7,14,307,2,47
274,56,2,76,65,6,17,261,2,24
275,44,2,65,40,9,15,312,2,51
276,40,2,45,57,9,30,239,2,35
277,43,2,69,86,6,21,323,2,41
278,45,2,73,56,8,18,331,2,26
279,47,2,70,71,8,11,363,2,21
280,42,2,64,74,6,30,353,2,32
281,45,2,73,65,9,23,304,2,28
282,44,2,68,71,9,5,333,2,32
283,45,2,66,71,9,16,320,2,20
284,38,2,64,69,9,23,336,2,35
285,42,2,74,68,9,26,335,2,34
286,50,2,70,51,8,16,266,2,29
287,41,2,67,41,8,20,259,2,37
288,50,2,54,52,7,15,341,2,28
289,44,2,50,66,7,20,314,2,44
290,38,2,40,62,10,26,310,2,25
291,49,2,60,65,9,25,438,2,34
292,42,2,70,42,7,18,274,2,32
293,41,2,81,60,8,18,308,2,38
294,41,2,63,57,7,16,276,2,39
295,46,2,72,69,8,22,295,2,33
296,42,2,46,59,9,25,348,2,42
297,45,2,72,54,8,23,360,2,29
298,43,2,70,66,7,9,272,2,18
299,42,2,69,55,9,22,315,2,36
300,39,2,80,59,9,15,222,2,38
301,47,2,61,51,9,14,382,2,21
302,48,2,67,66,7,19,302,2,20
303,49,2,65,58,7,7,290,2,54
304,49,2,70,57,8,23,241,2,41
305,49,2,77,64,8,23,330,2,26
306,42,2,71,75,7,13,308,2,31
307,46,2,72,58,9,12,259,2,29
308,37,2,68,77,8,21,237,2,24
309,43,2,67,73,9,14,312,2,35
310,51,2,86,50,7,14,288,2,35
311,50,2,69,57,8,16,404,2,14
312,46,2,90,60,8,18,291,2,44
313,34,2,85,46,8,18,329,2,14
314,47,2,90,46,8,17,321,2,30
315,42,2,75,78,8,24,235,2,20
316,47,2,85,64,8,20,237,2,36
317,49,2,65,55,8,18,297,2,51
318,44,2,66,54,9,19,268,2,43
319,52,2,64,41,9,17,340,2,10
320,49,2,58,67,8,15,280,2,37
321,46,2,76,80,6,28,305,2,21
322,38,2,68,69,8,28,227,2,30
323,39,2,74,69,8,7,310,2,34
324,47,2,82,49,9,26,211,2,33
325,42,2,69,63,8,17,302,2,19
326,40,2,77,49,9,22,214,2,23
327,51,2,60,55,8,24,287,2,24
328,52,2,87,70,8,16,258,2,35
329,47,2,84,67,6,25,250,2,26
330,46,2,90,91,9,19,327,2,39
331,43,2,88,62,8,23,321,2,38
332,42,2,64,49,8,24,323,2,47
333,45,2,77,49,8,23,342,2,27
334,45,2,55,56,9,23,325,2,30
335,45,2,63,67,8,22,274,2,8
336,50,2,65,51,9,18,353,2,36
337,48,2,56,72,8,18,307,2,12
338,47,2,60,46,6,26,269,2,45
339,42,2,53,49,9,19,273,2,32
340,48,2,81,74,8,13,279,2,33
341,40,2,60,63,8,20,262,2,28
342,40,2,79,70,6,15,225,2,23
343,45,2,56,51,7,21,303,2,23
344,46,2,65,57,10,27,235,2,38
345,49,2,59,68,10,14,254,2,40
346,46,2,76,63,8,13,352,2,42
347,44,2,70,45,9,23,297,2,41
348,43,2,76,50,8,19,311,2,26
349,44,2,78,56,6,29,369,2,17
350,48,2,65,63,8,19,261,2,23
351,40,2,62,59,7,23,374,2,24
352,46,2,75,65,8,24,324,2,18
353,49,2,79,52,8,23,290,2,41
354,57,2,62,46,8,24,288,2,45
355,38,2,77,54,10,30,262,2,25
356,49,2,66,60,8,10,299,2,23
357,43,2,84,47,9,19,286,2,38
358,47,2,76,70,8,17,246,2,22
359,60,2,82,46,7,22,327,2,35
360,44,2,69,63,8,9,289,2,21
361,46,2,100,64,8,25,324,2,34
362,48,2,91,49,8,15,328,2,21
363,43,2,67,70,9,14,303,2,23
364,39,2,68,57,10,22,231,2,24
365,50,2,91,44,6,29,319,2,21
366,48,2,44,60,8,25,249,2,31
367,40,2,73,51,8,15,333,2,39
368,44,2,70,46,8,20,431,2,19
369,52,2,80,63,10,22,319,2,29
370,51,2,81,54,7,19,260,2,29
371,51,2,65,60,8,24,188,2,24
372,46,2,82,55,6,23,268,2,18
373,42,2,68,54,6,24,364,2,37
374,39,2,68,60,9,23,263,2,31
375,47,2,85,67,9,20,371,2,34
376,51,1,104,47,10,8,515,0,75
377,56,1,93,57,11,11,547,0,60
378,57,1,108,38,9,7,446,0,62
379,53,1,76,40,11,5,576,0,75
380,60,1,83,49,9,14,509,0,76
381,49,1,81,46,9,12,432,0,78
382,49,1,96,46,9,13,513,0,65
383,50,1,70,43,8,10,487,0,77
384,53,1,87,47,10,12,523,0,55
385,59,1,96,30,10,10,493,0,73
386,62,1,101,27,11,17,519,0,81
387,65,1,100,42,11,11,501,0,66
388,63,1,82,55,10,3,518,0,49
389,58,1,99,34,10,20,475,0,59
390,62,1,110,40,11,17,463,0,65
391,61,1,107,46,9,20,473,0,67
392,57,1,106,49,10,12,502,0,76
393,42,1,87,42,9,12,490,0,88
394,63,1,85,38,10,8,510,0,62
395,49,1,96,46,9,14,468,0,73
396,59,1,90,45,9,9,490,0,63
397,54,1,75,35,10,9,488,0,69
398,57,1,99,34,9,5,476,0,66
399,51,1,77,35,10,13,472,0,66
400,50,1,90,32,11,1,482,0,73
401,56,1,117,43,9,10,411,0,69
402,51,1,99,35,10,7,587,0,67
403,64,1,98,45,10,12,404,0,67
404,59,1,90,26,10,19,562,0,69
405,60,1,86,23,9,18,486,0,68
406,54,1,109,56,12,9,515,0,55
407,62,1,78,42,9,7,458,0,64
408,52,1,85,48,9,11,561,0,65
409,51,1,88,52,10,7,524,0,59
410,58,1,94,37,9,6,527,0,82
411,52,1,95,19,9,10,455,0,61
412,52,1,93,38,8,1,470,0,75
413,41,1,85,35,11,8,519,0,71
414,44,1,98,42,11,30,396,0,87
415,54,1,93,40,10,7,516,0,55
416,59,1,86,29,10,16,473,0,74
417,51,1,98,47,12,9,533,0,71
418,61,1,83,47,10,10,505,0,73
419,54,1,92,56,11,14,477,0,61
420,60,1,99,55,9,9,418,0,66
421,60,1,85,46,10,12,443,0,71
422,40,1,88,24,11,14,523,0,85
423,50,1,107,49,10,16,445,0,62
424,52,1,85,29,11,9,518,0,64
425,46,1,93,21,10,3,599,0,79
426,56,1,103,32,11,11,513,0,83
427,59,1,93,23,9,9,505,0,59
428,67,1,105,46,10,9,452,0,71
429,56,1,78,43,10,1,457,0,66
430,64,1,96,27,10,2,554,0,65
431,55,1,103,27,9,7,552,0,55
432,41,1,85,46,11,8,479,0,82
433,46,1,86,42,10,7,502,0,45
434,52,1,95,30,10,12,483,0,72
435,50,1,88,46,10,7,511,0,77
436,45,1,102,37,10,16,431,0,63
437,54,1,82,57,9,7,510,0,58
438,53,1,93,37,10,7,424,0,73
439,64,1,90,42,11,4,585,0,72
440,63,1,83,58,11,13,512,0,68
441,61,1,91,20,9,9,515,0,69
442,61,1,70,41,8,14,495,0,74
443,51,1,103,50,11,9,529,0,63
444,59,1,106,51,9,12,435,0,76
445,57,1,71,28,10,8,440,0,74
446,56,1,88,32,11,18,476,0,64
447,57,1,86,39,11,1,566,0,71
448,53,1,89,40,8,17,502,0,74
449,60,1,80,45,10,14,394,0,69
450,52,1,94,45,9,6,494,0,61
451,59,1,86,11,10,5,418,0,58
452,56,1,103,43,9,12,477,0,63
453,49,1,72,36,10,10,479,0,61
454,58,1,77,48,9,6,427,0,65
455,60,1,95,50,11,4,483,0,62
456,62,1,78,49,11,19,480,0,77
457,66,1,84,25,8,14,406,0,66
458,57,1,92,44,10,16,452,0,63
459,51,1,98,49,10,16,441,0,87
460,63,1,97,58,8,7,463,0,77
461,50,1,98,54,11,11,451,0,62
462,61,1,98,40,10,1,446,0,89
463,49,1,92,50,9,11,547,0,70
464,69,1,73,51,10,14,522,0,63
465,56,1,71,46,10,13,553,0,74
466,56,1,81,33,11,17,488,0,70
467,50,1,102,47,12,6,481,0,72
468,58,1,88,31,11,14,454,0,84
469,61,1,91,41,11,6,502,0,48
470,59,1,74,55,10,9,469,0,67
471,62,1,65,53,10,4,446,0,87
472,50,1,78,51,10,5,511,0,60
473,61,1,101,45,10,19,500,0,58
474,57,1,111,30,10,12,497,0,60
475,61,1,113,42,9,2,513,0,81
476,57,1,90,34,9,14,546,0,55
477,63,1,96,54,9,3,493,0,75
478,64,1,97,38,9,16,452,0,86
479,54,1,106,47,10,7,483,0,74
480,55,1,84,38,10,1,523,0,60
481,49,1,73,22,9,6,598,0,65
482,56,1,94,41,10,4,573,0,88
483,47,1,80,37,9,13,464,0,92
484,61,1,92,50,11,7,459,0,71
485,59,1,91,24,9,10,496,0,90
486,48,1,95,55,12,8,525,0,76
487,56,1,89,44,7,13,506,0,68
488,65,1,83,36,12,6,472,0,69
489,59,1,92,27,9,7,496,0,74
490,57,1,72,51,10,17,522,0,81
491,57,1,103,45,10,21,544,0,76
492,49,1,77,43,10,7,507,0,86
493,58,1,79,39,9,8,479,0,65
494,49,1,89,34,7,20,554,0,66
495,55,1,78,57,12,11,551,0,72
496,48,1,86,41,10,9,495,0,69
497,55,1,79,33,9,15,395,0,82
498,62,1,87,14,10,10,449,0,65
499,63,1,97,31,8,8,489,0,75
500,52,1,95,59,11,10,491,0,66
